dataset,domain,fold_id,cell_id,protocol_id,split,split_seed,evaluation_partition,lpo_held_protocols,is_held_protocol,early_ratio,future_mask_definition,source_file,source_sha256,preprocessing_version,preprocessing_sha256
BatteryLife,Li-ion,Liion_split_seed2021,CALCE_CX2_16,evaluation_fold:Liion_split_seed2021,train,2021,train,5;9;10;13;24;26;31;43;44;47;48;50;52;54;62;64;68;69;75;77;99;100;108;109;113;118;127;129;134;136;141;148;156;158;159;160;170;178;180;187;189;195;197;199;202;203;216;218;234;246;252;266;269;272;283;287;291;293;307;317;322;324;330;332;333;335;337;339;348;349;350;361;370;371;376;377;384;386;393;394;395;409;411;413;419;420;428;433;447;448;452;453;470;480,false,0.30,official BatteryLife evaluation mask for the named split JSON,BatteryMFormer_Reproduce/code/data_provider/split_json/pure_ood/Liion_split_seed2021.json,9743d61a4c289de9e5b880dda5e3d660f1b826df20065d2c6e10af6b48f5e64a,BatteryMFormer_Reproduce official split JSON,not_recorded_in_frozen_summary
BatteryLife,Li-ion,Liion_split_seed2021,CALCE_CX2_33,evaluation_fold:Liion_split_seed2021,train,2021,train,5;9;10;13;24;26;31;43;44;47;48;50;52;54;62;64;68;69;75;77;99;100;108;109;113;118;127;129;134;136;141;148;156;158;159;160;170;178;180;187;189;195;197;199;202;203;216;218;234;246;252;266;269;272;283;287;291;293;307;317;322;324;330;332;333;335;337;339;348;349;350;361;370;371;376;377;384;386;393;394;395;409;411;413;419;420;428;433;447;448;452;453;470;480,false,0.30,official BatteryLife evaluation mask for the named split JSON,BatteryMFormer_Reproduce/code/data_provider/split_json/pure_ood/Liion_split_seed2021.json,9743d61a4c289de9e5b880dda5e3d660f1b826df20065d2c6e10af6b48f5e64a,BatteryMFormer_Reproduce official split JSON,not_recorded_in_frozen_summary
BatteryLife,Li-ion,Liion_split_seed2021,CALCE_CX2_34,evaluation_fold:Liion_split_seed2021,train,2021,train,5;9;10;13;24;26;31;43;44;47;48;50;52;54;62;64;68;69;75;77;99;100;108;109;113;118;127;129;134;136;141;148;156;158;159;160;170;178;180;187;189;195;197;199;202;203;216;218;234;246;252;266;269;272;283;287;291;293;307;317;322;324;330;332;333;335;337;339;348;349;350;361;370;371;376;377;384;386;393;394;395;409;411;413;419;420;428;433;447;448;452;453;470;480,false,0.30,official BatteryLife evaluation mask for the named split JSON,BatteryMFormer_Reproduce/code/data_provider/split_json/pure_ood/Liion_split_seed2021.json,9743d61a4c289de9e5b880dda5e3d660f1b826df20065d2c6e10af6b48f5e64a,BatteryMFormer_Reproduce official split JSON,not_recorded_in_frozen_summary
BatteryLife,Li-ion,Liion_split_seed2021,CALCE_CX2_35,evaluation_fold:Liion_split_seed2021,train,2021,train,5;9;10;13;24;26;31;43;44;47;48;50;52;54;62;64;68;69;75;77;99;100;108;109;113;118;127;129;134;136;141;148;156;158;159;160;170;178;180;187;189;195;197;199;202;203;216;218;234;246;252;266;269;272;283;287;291;293;307;317;322;324;330;332;333;335;337;339;348;349;350;361;370;371;376;377;384;386;393;394;395;409;411;413;419;420;428;433;447;448;452;453;470;480,false,0.30,official BatteryLife evaluation mask for the named split JSON,BatteryMFormer_Reproduce/code/data_provider/split_json/pure_ood/Liion_split_seed2021.json,9743d61a4c289de9e5b880dda5e3d660f1b826df20065d2c6e10af6b48f5e64a,BatteryMFormer_Reproduce official split JSON,not_recorded_in_frozen_summary
BatteryLife,Li-ion,Liion_split_seed2021,CALCE_CX2_36,evaluation_fold:Liion_split_seed2021,train,2021,train,5;9;10;13;24;26;31;43;44;47;48;50;52;54;62;64;68;69;75;77;99;100;108;109;113;118;127;129;134;136;141;148;156;158;159;160;170;178;180;187;189;195;197;199;202;203;216;218;234;246;252;266;269;272;283;287;291;293;307;317;322;324;330;332;333;335;337;339;348;349;350;361;370;371;376;377;384;386;393;394;395;409;411;413;419;420;428;433;447;448;452;453;470;480,false,0.30,official BatteryLife evaluation mask for the named split JSON,BatteryMFormer_Reproduce/code/data_provider/split_json/pure_ood/Liion_split_seed2021.json,9743d61a4c289de9e5b880dda5e3d660f1b826df20065d2c6e10af6b48f5e64a,BatteryMFormer_Reproduce official split JSON,not_recorded_in_frozen_summary
BatteryLife,Li-ion,Liion_split_seed2021,CALCE_CX2_37,evaluation_fold:Liion_split_seed2021,train,2021,train,5;9;10;13;24;26;31;43;44;47;48;50;52;54;62;64;68;69;75;77;99;100;108;109;113;118;127;129;134;136;141;148;156;158;159;160;170;178;180;187;189;195;197;199;202;203;216;218;234;246;252;266;269;272;283;287;291;293;307;317;322;324;330;332;333;335;337;339;348;349;350;361;370;371;376;377;384;386;393;394;395;409;411;413;419;420;428;433;447;448;452;453;470;480,false,0.30,official BatteryLife evaluation mask for the named split JSON,BatteryMFormer_Reproduce/code/data_provider/split_json/pure_ood/Liion_split_seed2021.json,9743d61a4c289de9e5b880dda5e3d660f1b826df20065d2c6e10af6b48f5e64a,BatteryMFormer_Reproduce official split JSON,not_recorded_in_frozen_summary
BatteryLife,Li-ion,Liion_split_seed2021,CALCE_CX2_38,evaluation_fold:Liion_split_seed2021,train,2021,train,5;9;10;13;24;26;31;43;44;47;48;50;52;54;62;64;68;69;75;77;99;100;108;109;113;118;127;129;134;136;141;148;156;158;159;160;170;178;180;187;189;195;197;199;202;203;216;218;234;246;252;266;269;272;283;287;291;293;307;317;322;324;330;332;333;335;337;339;348;349;350;361;370;371;376;377;384;386;393;394;395;409;411;413;419;420;428;433;447;448;452;453;470;480,false,0.30,official BatteryLife evaluation mask for the named split JSON,BatteryMFormer_Reproduce/code/data_provider/split_json/pure_ood/Liion_split_seed2021.json,9743d61a4c289de9e5b880dda5e3d660f1b826df20065d2c6e10af6b48f5e64a,BatteryMFormer_Reproduce official split JSON,not_recorded_in_frozen_summary
BatteryLife,Li-ion,Liion_split_seed2021,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,evaluation_fold:Liion_split_seed2021,train,2021,train,5;9;10;13;24;26;31;43;44;47;48;50;52;54;62;64;68;69;75;77;99;100;108;109;113;118;127;129;134;136;141;148;156;158;159;160;170;178;180;187;189;195;197;199;202;203;216;218;234;246;252;266;269;272;283;287;291;293;307;317;322;324;330;332;333;335;337;339;348;349;350;361;370;371;376;377;384;386;393;394;395;409;411;413;419;420;428;433;447;448;452;453;470;480,false,0.30,official BatteryLife evaluation mask for the named split JSON,BatteryMFormer_Reproduce/code/data_provider/split_json/pure_ood/Liion_split_seed2021.json,9743d61a4c289de9e5b880dda5e3d660f1b826df20065d2c6e10af6b48f5e64a,BatteryMFormer_Reproduce official split JSON,not_recorded_in_frozen_summary
BatteryLife,Li-ion,Liion_split_seed2021,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c,evaluation_fold:Liion_split_seed2021,train,2021,train,5;9;10;13;24;26;31;43;44;47;48;50;52;54;62;64;68;69;75;77;99;100;108;109;113;118;127;129;134;136;141;148;156;158;159;160;170;178;180;187;189;195;197;199;202;203;216;218;234;246;252;266;269;272;283;287;291;293;307;317;322;324;330;332;333;335;337;339;348;349;350;361;370;371;376;377;384;386;393;394;395;409;411;413;419;420;428;433;447;448;452;453;470;480,false,0.30,official BatteryLife evaluation mask for the named split JSON,BatteryMFormer_Reproduce/code/data_provider/split_json/pure_ood/Liion_split_seed2021.json,9743d61a4c289de9e5b880dda5e3d660f1b826df20065d2c6e10af6b48f5e64a,BatteryMFormer_Reproduce official split JSON,not_recorded_in_frozen_summary
BatteryLife,Li-ion,Liion_split_seed2021,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_d,evaluation_fold:Liion_split_seed2021,train,2021,train,5;9;10;13;24;26;31;43;44;47;48;50;52;54;62;64;68;69;75;77;99;100;108;109;113;118;127;129;134;136;141;148;156;158;159;160;170;178;180;187;189;195;197;199;202;203;216;218;234;246;252;266;269;272;283;287;291;293;307;317;322;324;330;332;333;335;337;339;348;349;350;361;370;371;376;377;384;386;393;394;395;409;411;413;419;420;428;433;447;448;452;453;470;480,false,0.30,official BatteryLife evaluation mask for the named split JSON,BatteryMFormer_Reproduce/code/data_provider/split_json/pure_ood/Liion_split_seed2021.json,9743d61a4c289de9e5b880dda5e3d660f1b826df20065d2c6e10af6b48f5e64a,BatteryMFormer_Reproduce official split JSON,not_recorded_in_frozen_summary
