dataset,cell_id,protocol_id,split,split_seed,evaluation_partition,lpo_held_protocols,is_held_protocol,early_ratio,future_mask_definition,source_file,source_sha256,preprocessing_version,preprocessing_sha256
aging_matrix,PreDiag_000213_0001CF,protocol_cluster_0,test,predefined_source_split; split seed not recorded in frozen cache,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/AGING_MATRIX/aging_matrix_raw_cycle_records_stride20_noleak.pkl,ab36427c6d9611c6b504ff600663f3dd502bc82d0cfa1791d93e561819416cae,scripts/AGING_MATRIX/prepare_raw_cycle_long_stream_from_offsets_v2.py,55a5059ea7129773d91553eed5899c9058b1019fec4169ab44187dba352d9d60
aging_matrix,PreDiag_000255_000214,protocol_cluster_1,test,predefined_source_split; split seed not recorded in frozen cache,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/AGING_MATRIX/aging_matrix_raw_cycle_records_stride20_noleak.pkl,ab36427c6d9611c6b504ff600663f3dd502bc82d0cfa1791d93e561819416cae,scripts/AGING_MATRIX/prepare_raw_cycle_long_stream_from_offsets_v2.py,55a5059ea7129773d91553eed5899c9058b1019fec4169ab44187dba352d9d60
aging_matrix,PreDiag_000203_0001A4,protocol_cluster_2,test,predefined_source_split; split seed not recorded in frozen cache,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/AGING_MATRIX/aging_matrix_raw_cycle_records_stride20_noleak.pkl,ab36427c6d9611c6b504ff600663f3dd502bc82d0cfa1791d93e561819416cae,scripts/AGING_MATRIX/prepare_raw_cycle_long_stream_from_offsets_v2.py,55a5059ea7129773d91553eed5899c9058b1019fec4169ab44187dba352d9d60
aging_matrix,PreDiag_000240_000227,protocol_cluster_3,test,predefined_source_split; split seed not recorded in frozen cache,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/AGING_MATRIX/aging_matrix_raw_cycle_records_stride20_noleak.pkl,ab36427c6d9611c6b504ff600663f3dd502bc82d0cfa1791d93e561819416cae,scripts/AGING_MATRIX/prepare_raw_cycle_long_stream_from_offsets_v2.py,55a5059ea7129773d91553eed5899c9058b1019fec4169ab44187dba352d9d60
aging_matrix,PreDiag_000243_00022C,protocol_cluster_3,test,predefined_source_split; split seed not recorded in frozen cache,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/AGING_MATRIX/aging_matrix_raw_cycle_records_stride20_noleak.pkl,ab36427c6d9611c6b504ff600663f3dd502bc82d0cfa1791d93e561819416cae,scripts/AGING_MATRIX/prepare_raw_cycle_long_stream_from_offsets_v2.py,55a5059ea7129773d91553eed5899c9058b1019fec4169ab44187dba352d9d60
aging_matrix,PreDiag_000209_000123,protocol_cluster_0,train,predefined_source_split; split seed not recorded in frozen cache,train,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/AGING_MATRIX/aging_matrix_raw_cycle_records_stride20_noleak.pkl,ab36427c6d9611c6b504ff600663f3dd502bc82d0cfa1791d93e561819416cae,scripts/AGING_MATRIX/prepare_raw_cycle_long_stream_from_offsets_v2.py,55a5059ea7129773d91553eed5899c9058b1019fec4169ab44187dba352d9d60
aging_matrix,PreDiag_000212_0000DB,protocol_cluster_0,train,predefined_source_split; split seed not recorded in frozen cache,train,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/AGING_MATRIX/aging_matrix_raw_cycle_records_stride20_noleak.pkl,ab36427c6d9611c6b504ff600663f3dd502bc82d0cfa1791d93e561819416cae,scripts/AGING_MATRIX/prepare_raw_cycle_long_stream_from_offsets_v2.py,55a5059ea7129773d91553eed5899c9058b1019fec4169ab44187dba352d9d60
aging_matrix,PreDiag_000215_0001CE,protocol_cluster_0,train,predefined_source_split; split seed not recorded in frozen cache,train,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/AGING_MATRIX/aging_matrix_raw_cycle_records_stride20_noleak.pkl,ab36427c6d9611c6b504ff600663f3dd502bc82d0cfa1791d93e561819416cae,scripts/AGING_MATRIX/prepare_raw_cycle_long_stream_from_offsets_v2.py,55a5059ea7129773d91553eed5899c9058b1019fec4169ab44187dba352d9d60
aging_matrix,PreDiag_000216_0001A1,protocol_cluster_0,train,predefined_source_split; split seed not recorded in frozen cache,train,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/AGING_MATRIX/aging_matrix_raw_cycle_records_stride20_noleak.pkl,ab36427c6d9611c6b504ff600663f3dd502bc82d0cfa1791d93e561819416cae,scripts/AGING_MATRIX/prepare_raw_cycle_long_stream_from_offsets_v2.py,55a5059ea7129773d91553eed5899c9058b1019fec4169ab44187dba352d9d60
aging_matrix,PreDiag_000219_000060,protocol_cluster_0,train,predefined_source_split; split seed not recorded in frozen cache,train,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/AGING_MATRIX/aging_matrix_raw_cycle_records_stride20_noleak.pkl,ab36427c6d9611c6b504ff600663f3dd502bc82d0cfa1791d93e561819416cae,scripts/AGING_MATRIX/prepare_raw_cycle_long_stream_from_offsets_v2.py,55a5059ea7129773d91553eed5899c9058b1019fec4169ab44187dba352d9d60
