dataset,cell_id,protocol_id,split,split_seed,evaluation_partition,lpo_held_protocols,is_held_protocol,early_ratio,future_mask_definition,source_file,source_sha256,preprocessing_version,preprocessing_sha256
isu_ilcc_lpo,ISU-ILCC_G10C1,G10,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
isu_ilcc_lpo,ISU-ILCC_G10C2,G10,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
isu_ilcc_lpo,ISU-ILCC_G10C3,G10,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
isu_ilcc_lpo,ISU-ILCC_G10C4,G10,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
isu_ilcc_lpo,ISU-ILCC_G13C1,G13,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
isu_ilcc_lpo,ISU-ILCC_G13C2,G13,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
isu_ilcc_lpo,ISU-ILCC_G13C3,G13,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
isu_ilcc_lpo,ISU-ILCC_G13C4,G13,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
isu_ilcc_lpo,ISU-ILCC_G14C1,G14,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
isu_ilcc_lpo,ISU-ILCC_G14C2,G14,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
isu_ilcc_lpo,ISU-ILCC_G14C3,G14,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
isu_ilcc_lpo,ISU-ILCC_G14C4,G14,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
isu_ilcc_lpo,ISU-ILCC_G37C1,G37,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
isu_ilcc_lpo,ISU-ILCC_G37C2,G37,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
isu_ilcc_lpo,ISU-ILCC_G37C3,G37,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
isu_ilcc_lpo,ISU-ILCC_G37C4,G37,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
isu_ilcc_lpo,ISU-ILCC_G39C1,G39,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
isu_ilcc_lpo,ISU-ILCC_G39C2,G39,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
isu_ilcc_lpo,ISU-ILCC_G39C3,G39,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
isu_ilcc_lpo,ISU-ILCC_G39C4,G39,test,2026,test,G10;G13;G14;G37;G39;G42;G43;G49;G50;G56;G57;G60,true,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/ISU_ILCC/isu_ilcc_lpo_records.pkl,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9,scripts/DATASETS/_isu_make_lpo_split.py,96d93d3d743596c8bf902ff89e4f0527f967ac9574d49f2fbb3815fb4eee991e
